Starting Positions: (x, y, width, height)

complete_map_pacman: (0, 159, 128, 160)
PacMan: (59, 104, 9, 9)

Title Screen:
title_logo_pacman: (0, 42, 128, 43)
engl: (15, 75, 36, 14)
span: (77, 75, 36, 14)
difficulty_blend: (10, 139, 108, 14)
select_dificulty: (10, 126, 108, 14)
red_ghost: (59, 79, 9, 9)
blue_ghost: (50, 92, 9, 9)
pink_ghost: (59, 92, 9, 9)
yellow_ghost: (68, 92, 9, 9)

After Pac-Man dies, teleport Ghosts to:
(118, 9) and then black9x9 (118, 9, 9, 9)

Begin Game:
replace_toplogo: (0, 42, 128, 43)
replace_engl: (15, 75, 36, 14)
replace_span: (77, 75, 36, 14)
replace_difficuty: (10, 139, 108, 14)
replace_select_difficulty: (10, 126, 108, 14)



Food Positions:
(11, 27)
(19, 27)
(26, 27)
(34, 27)
(42, 27)
(51, 27)
(76, 27)
(85, 27)
(93, 27)
(101, 27)
(108, 27)
(116, 27)

(11, 35)
(51, 35)
(76, 35)
(116, 35)

(11, 43)
(19, 43)
(26, 43)
(34, 43)
(42, 43)
(51, 43)
(59, 43)
(68, 43)
(76, 43)
(85, 43)
(93, 43)
(101, 43)
(108, 43)
(116, 43)

(11, 52)
(42, 52)
(85, 52)
(116, 52)

(42, 61)
(51, 61)
(76, 61)
(85, 61)

(11, 63)
(24, 63)
(103, 63)
(116, 63)

(24, 71)
(103, 71)

(42, 75)
(51, 75)
(59, 75)
(68, 75)
(76, 75)
(85, 75)

(24, 79)
(103, 79)

(6, 88)
(15, 88)
(24, 88)
(33, 88)
(42, 88)
(85, 88)
(94, 88)
(103, 88)
(112, 88)
(121, 88)

(24, 100)
(42, 100)
(51, 100)
(76, 100)
(85, 100)
(103, 100)

(11, 113)
(17, 113)
(24, 113)
(33, 113)
(42, 113)
(85, 113)
(94, 113)
(103, 113)
(110, 113)
(116, 113)

(11, 120)
(116, 120)

(11, 127)
(28, 127)
(35, 127)
(42, 127)
(51, 127)
(59, 127)
(68, 127)
(76, 127)
(85, 127)
(92, 127)
(99, 127)
(116, 127)

(11, 134)
(28, 134)
(51, 134)
(76, 134)
(99, 134)
(116, 134)

(11, 141)
(28, 141)
(51, 141)
(76, 141)
(99, 141)
(116, 141)

(11, 148)
(19, 148)
(28, 148)
(36, 148)
(43, 148)
(51, 148)
(59, 148)
(68, 148)
(76, 148)
(84, 148)
(91, 148)
(99, 148)
(108, 148)
(116, 148)
